ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
ae9c132db25104ae7afc8b2a0301ad80,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,218274,,,
5745bc2557b5704b3769390e97b0ee5e,image.jpg,,image/jpeg,media/image.jpg,,,99261,,,
137058ce60c0bf97081299ba658b4cfb,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,228729,,,
asabali_mp3,mc_sanzhi_asabali.mp3,,audio/mpeg,media/mc_sanzhi_asabali.mp3,,,6116352,382.248,asabali,
asabali_wav,mc_sanzhi_asabali.wav,,audio/x-wav,media/mc_sanzhi_asabali.wav,,,73385260,382.2146666666667,asabali,
asabali_eaf,mc_sanzhi_asabali.eaf,,application/eaf+xml,media/mc_sanzhi_asabali.eaf,,,609970,,asabali,
asabali_xml,mc_sanzhi_asabali.xml,,application/xml,media/mc_sanzhi_asabali.xml,,,216318,,asabali,
asabali_tsv,mc_sanzhi_asabali.tsv,,text/tab-separated-values,media/mc_sanzhi_asabali.tsv,,,40735,,asabali,
bazhuk_mp3,mc_sanzhi_bazhuk.mp3,,audio/mpeg,media/mc_sanzhi_bazhuk.mp3,,,4137984,258.6,bazhuk,
bazhuk_wav,mc_sanzhi_bazhuk.wav,,audio/x-wav,media/mc_sanzhi_bazhuk.wav,,,49645684,258.57104166666664,bazhuk,
bazhuk_eaf,mc_sanzhi_bazhuk.eaf,,application/eaf+xml,media/mc_sanzhi_bazhuk.eaf,,,412854,,bazhuk,
bazhuk_xml,mc_sanzhi_bazhuk.xml,,application/xml,media/mc_sanzhi_bazhuk.xml,,,145372,,bazhuk,
bazhuk_tsv,mc_sanzhi_bazhuk.tsv,,text/tab-separated-values,media/mc_sanzhi_bazhuk.tsv,,,27708,,bazhuk,
dragon_mp3,mc_sanzhi_dragon.mp3,,audio/mpeg,media/mc_sanzhi_dragon.mp3,,,5373696,335.832,dragon,
dragon_wav,mc_sanzhi_dragon.wav,,audio/x-wav,media/mc_sanzhi_dragon.wav,,,64474512,335.80452083333336,dragon,
dragon_eaf,mc_sanzhi_dragon.eaf,,application/eaf+xml,media/mc_sanzhi_dragon.eaf,,,507061,,dragon,
dragon_xml,mc_sanzhi_dragon.xml,,application/xml,media/mc_sanzhi_dragon.xml,,,178885,,dragon,
dragon_tsv,mc_sanzhi_dragon.tsv,,text/tab-separated-values,media/mc_sanzhi_dragon.tsv,,,34873,,dragon,
kurban_mp3,mc_sanzhi_kurban.mp3,,audio/mpeg,media/mc_sanzhi_kurban.mp3,,,4241664,265.08,kurban,
kurban_wav,mc_sanzhi_kurban.wav,,audio/x-wav,media/mc_sanzhi_kurban.wav,,,50887972,265.04129166666667,kurban,
kurban_eaf,mc_sanzhi_kurban.eaf,,application/eaf+xml,media/mc_sanzhi_kurban.eaf,,,710321,,kurban,
kurban_xml,mc_sanzhi_kurban.xml,,application/xml,media/mc_sanzhi_kurban.xml,,,251027,,kurban,
kurban_tsv,mc_sanzhi_kurban.tsv,,text/tab-separated-values,media/mc_sanzhi_kurban.tsv,,,48678,,kurban,
mill_mp3,mc_sanzhi_mill.mp3,,audio/mpeg,media/mc_sanzhi_mill.mp3,,,4963584,310.2,mill,
mill_wav,mc_sanzhi_mill.wav,,audio/x-wav,media/mc_sanzhi_mill.wav,,,59553600,310.17477083333335,mill,
mill_eaf,mc_sanzhi_mill.eaf,,application/eaf+xml,media/mc_sanzhi_mill.eaf,,,522285,,mill,
mill_xml,mc_sanzhi_mill.xml,,application/xml,media/mc_sanzhi_mill.xml,,,183558,,mill,
mill_tsv,mc_sanzhi_mill.tsv,,text/tab-separated-values,media/mc_sanzhi_mill.tsv,,,34503,,mill,
patima_mp3,mc_sanzhi_patima.mp3,,audio/mpeg,media/mc_sanzhi_patima.mp3,,,5012736,313.272,patima,
patima_wav,mc_sanzhi_patima.wav,,audio/x-wav,media/mc_sanzhi_patima.wav,,,60143524,313.2472916666667,patima,
patima_eaf,mc_sanzhi_patima.eaf,,application/eaf+xml,media/mc_sanzhi_patima.eaf,,,549856,,patima,
patima_xml,mc_sanzhi_patima.xml,,application/xml,media/mc_sanzhi_patima.xml,,,193382,,patima,
patima_tsv,mc_sanzhi_patima.tsv,,text/tab-separated-values,media/mc_sanzhi_patima.tsv,,,37479,,patima,
ramazan_mp3,mc_sanzhi_ramazan.mp3,,audio/mpeg,media/mc_sanzhi_ramazan.mp3,,,6985728,436.584,ramazan,
ramazan_wav,mc_sanzhi_ramazan.wav,,audio/x-wav,media/mc_sanzhi_ramazan.wav,,,83818408,436.5539791666667,ramazan,
ramazan_eaf,mc_sanzhi_ramazan.eaf,,application/eaf+xml,media/mc_sanzhi_ramazan.eaf,,,1001341,,ramazan,
ramazan_xml,mc_sanzhi_ramazan.xml,,application/xml,media/mc_sanzhi_ramazan.xml,,,357102,,ramazan,
ramazan_tsv,mc_sanzhi_ramazan.tsv,,text/tab-separated-values,media/mc_sanzhi_ramazan.tsv,,,67576,,ramazan,
tape_mp3,mc_sanzhi_tape.mp3,,audio/mpeg,media/mc_sanzhi_tape.mp3,,,1722240,107.616,tape,
tape_wav,mc_sanzhi_tape.wav,,audio/x-wav,media/mc_sanzhi_tape.wav,,,20653636,107.57079166666666,tape,
tape_eaf,mc_sanzhi_tape.eaf,,application/eaf+xml,media/mc_sanzhi_tape.eaf,,,280662,,tape,
tape_xml,mc_sanzhi_tape.xml,,application/xml,media/mc_sanzhi_tape.xml,,,99142,,tape,
tape_tsv,mc_sanzhi_tape.tsv,,text/tab-separated-values,media/mc_sanzhi_tape.tsv,,,18657,,tape,
