corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sanzhi	bazhuk	0001	#	#	#nc	#nc				
sanzhi	bazhuk	0001	už-ib	be-PRET	nc	nc				
sanzhi	bazhuk	0001	ca-w	be-M	nc	nc				
sanzhi	bazhuk	0001	už-ib-le-kːu	be-PRET-CVB-NEG	nc	nc				
sanzhi	bazhuk	0001	ca	one	nc	nc				
sanzhi	bazhuk	0001	durħuˁ	boy	nc_np.h	nc_np	h		220	new
sanzhi	bazhuk	0002	#	#	##	##				
sanzhi	bazhuk	0002	il-i-la	that-OBL-GEN	ln_dem_pro.h:poss	ln_dem_pro	h	poss	220	
sanzhi	bazhuk	0002	atːa-la	father-GEN	np.h:obl	np	h	obl	201	bridging
sanzhi	bazhuk	0002	d-už-ib	NPL-be-PRET	other:predex	other		predex		
sanzhi	bazhuk	0002	ca-d	be-NPL	rv_aux	rv_aux				
sanzhi	bazhuk	0002	macːa-la	sheep-GEN	ln_np	ln_np				
sanzhi	bazhuk	0002	aq'	flock	np:s	np		s	202	new
sanzhi	bazhuk	0003	#	#	#cv	#cv				
sanzhi	bazhuk	0003	atːa	father	np.h:s_ds_cv	np	h	s_ds_cv	201	
sanzhi	bazhuk	0003	ik'-ul	say.IPFV-ICVB	v:pred	v		pred		
sanzhi	bazhuk	0003	ca-w	be-M	rv_aux	rv_aux				
sanzhi	bazhuk	0003	durħuˁ-cːe	boy-IN	np.h:g	np	h	g	220	
sanzhi	bazhuk	0003	#	#	##ds	##ds				
sanzhi	bazhuk	0003	di-la	1SG-GEN	pro.1:obl	pro	1	obl	201	
sanzhi	bazhuk	0003	ʡaˁč-urbe	work-PL	np:s	np		s		
sanzhi	bazhuk	0003	le-d	exist-NPL	other:predex	other		predex		
sanzhi	bazhuk	0003	=nu	=but	=other	=other				
sanzhi	bazhuk	0003	#	#	##ds	##ds				
sanzhi	bazhuk	0003	u	2SG	pro.2:s	pro	2	s	220	
sanzhi	bazhuk	0003	ʡaˁbal	three	ln_num	ln_num				
sanzhi	bazhuk	0003	bar	day	np:other	np		other		
sanzhi	bazhuk	0003	uq'-aˁn	go-IMP	v:pred	v		pred		
sanzhi	bazhuk	0003	macːa-la	sheep-GEN	ln_np:poss	ln_np		poss		
sanzhi	bazhuk	0003	q'ari	pastures	np:g	np		g		
sanzhi	bazhuk	0004	#	#	##ds	##ds				
sanzhi	bazhuk	0004	ca	one	ln_deti	ln_deti				
sanzhi	bazhuk	0004	musːa-d	place-NPL	np:l	np		l	203	new
sanzhi	bazhuk	0004	k'e-d	exist.up-NPL	other:predex	other		predex		
sanzhi	bazhuk	0004	#	#	#cv	#cv				
sanzhi	bazhuk	0004	0	0_father	0.h:s_ds_cv	0	h	s_ds_cv	201	
sanzhi	bazhuk	0004	ik'-ul	say.IPFV-ICVB	v:pred	v		pred		
sanzhi	bazhuk	0004	ca-w	be-M	rv_aux	rv_aux				
sanzhi	bazhuk	0004	%	%	%	%				
sanzhi	bazhuk	0004	kːalk-me	tree-PL	np:s	np		s	204	new
sanzhi	bazhuk	0004	#	#	##ds.neg	##ds.neg				
sanzhi	bazhuk	0004	warilla	no	other	other				
sanzhi	bazhuk	0004	wari	way	other	other				
sanzhi	bazhuk	0004	u	2SG	pro.2:s_cps	pro	2	s_cps	220	
sanzhi	bazhuk	0004	iχ-tː-a-j	DEM.down-PL-OBL-DAT	dem_pro:obl	dem_pro		obl	204	
sanzhi	bazhuk	0004	er	look	other:lvc	other		lvc		
sanzhi	bazhuk	0004	či-ma-hark'-utːa	SPR-PROH-look.IPFV-PROH.SG	v:pred	v		pred		
sanzhi	bazhuk	0005	#	#	#cv	#cv				
sanzhi	bazhuk	0005	ʡaˁħ-le	good-ADVZ	other	other				
sanzhi	bazhuk	0005	ik'-ul	say.IPFV-ICVB	v:pred	v		pred		
sanzhi	bazhuk	0005	ca-w	be-M	rv_aux	rv_aux				
sanzhi	bazhuk	0005	durħuˁ	boy	np.h:s_ds_cv	np	h	s_ds_cv	220	
sanzhi	bazhuk	0005	#	#	##	##				
