corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sanzhi	dragon	0001	#	#	##	##				
sanzhi	dragon	0001	ca	one	ln_deti	ln_deti				
sanzhi	dragon	0001	šːi-l-cːe-b	village-OBL-IN-N	np:l	np		l	300	new
sanzhi	dragon	0001	ca	one	ln_deti	ln_deti				
sanzhi	dragon	0001	kulpat	family	np.h:s	np	h	s	301	new
sanzhi	dragon	0001	χula	big	ln_adj	ln_adj				
sanzhi	dragon	0001	kulpat	family	np.h:appos	np	h	appos	301	
sanzhi	dragon	0001	b-už-ib	N-stay-PRET	v:pred	v		pred		
sanzhi	dragon	0001	ca-b	be-N	rv_aux	rv_aux				
sanzhi	dragon	0001	#	#	##	##				
sanzhi	dragon	0001	il-tː-a-cːe-r	that-PL-OBL-IN-ABL	dem_pro.h:obl	dem_pro	h	obl	301	
sanzhi	dragon	0001	ca	one	ln_deti	ln_deti				
sanzhi	dragon	0001	rursːi	girl	np.h:s	np	h	s	302	bridging
sanzhi	dragon	0001	r-už-ib	F-be-PRET	v:pred	v		pred		
sanzhi	dragon	0001	ca-r	be-F	rv_aux	rv_aux				
sanzhi	dragon	0001	#	#	#rc_pc.neg	#rc_pc.neg				
sanzhi	dragon	0001	har	every	ln	ln				
sanzhi	dragon	0001	zamana	time	np:other	np		other		
sanzhi	dragon	0001	0	0_sister	0.h:s_pc	0	h	s_pc	302	
sanzhi	dragon	0001	kːuš-le	hungry-ADVZ	other	other				
sanzhi	dragon	0001	a-luqː-an	NEG-become.full.IPFV-PTCP	v:pred	v		pred		
sanzhi	dragon	0002	#	#	##ds	##ds				
sanzhi	dragon	0002	#	#	#rc_pc	#rc_pc				
sanzhi	dragon	0002	0	0	0.h:a	0	h	a		
sanzhi	dragon	0002	ču-la	REFL.PL-GEN	ln_refl.h:poss	ln_refl	h	poss		
sanzhi	dragon	0002	χu-d-a-j	dog-PL-OBL-DAT	np:g	np		g	303	new
sanzhi	dragon	0002	lukː-an	give.IPFV-PTCP	v:pred	v		pred		
sanzhi	dragon	0002	0	0_food	rel_f0:p	rel_f0		p	304	new
sanzhi	dragon	0002	%	%	%	%				
sanzhi	dragon	0002	χurejg	food	np:dt_p	np		dt_p	304	
sanzhi	dragon	0002	il-i-l	that-OBL-ERG	dem_pro.h:a	dem_pro	h	a	302	
sanzhi	dragon	0002	χu-d-a-j	dog-PL-OBL-DAT	np:g	np		g	303	
sanzhi	dragon	0002	lukː-un-ne-da	give.IPFV-ICVB-PRS.3-1	v:pred	v		pred		
sanzhi	dragon	0002	#	#	#cv	#cv				
sanzhi	dragon	0002	0	0_sister	0.h:s_ds_cv	0	h	s_ds_cv	302	
sanzhi	dragon	0002	r-ik'-ul	F-say.IPFV-ICVB	v:pred	v		pred		
sanzhi	dragon	0002	#	#	#cv	#cv				
sanzhi	dragon	0002	cin-ni	REFL.SG-ERG	refl.h:a	refl	h	a	302	
sanzhi	dragon	0002	d-uk-un-ne	NPL-eat.IPFV-PRET-CVB	v:pred	v		pred		
sanzhi	dragon	0002	d-už-ib-le	NPL-be-PRET-CVB	rv_aux	rv_aux				
sanzhi	dragon	0002	hel-tːi	that-PL	dem_pro:p	dem_pro		p	304	
sanzhi	dragon	0003	#	#	##	##				
sanzhi	dragon	0003	#	#	#ac	#ac				
sanzhi	dragon	0003	0	0_sister	0.h:s	0	h	s	302	
sanzhi	dragon	0003	q'ʷila	a.little	other	other				
sanzhi	dragon	0003	χula	big	other	other				
sanzhi	dragon	0003	r-eʁ-ib	F-go.PFV-PRET	v:pred	v		pred		
sanzhi	dragon	0003	=qːel	=when	=adp	=adp				
sanzhi	dragon	0003	%	%	%	%				
sanzhi	dragon	0003	arin	too.much	other	other				
sanzhi	dragon	0003	kːuš-le	hungry-ADVZ	other	other				
sanzhi	dragon	0003	0	0_sister	0.h:a	0	h	a	302	
sanzhi	dragon	0003	χalq'	people	np.h:p	np	h	p	305	new
sanzhi	dragon	0003	b-ukː-an	N-eat.IPFV-PTCP	v:pred	v		pred		
sanzhi	dragon	0003	ag-ur	go.PFV-PRET	rv_aux	rv_aux				
sanzhi	dragon	0003	ca-r	be-F	rv_aux	rv_aux				
sanzhi	dragon	0003	#	#	##	##				
sanzhi	dragon	0003	0	0_sister	0.h:s	0	h	s	302	
sanzhi	dragon	0003	aždaha	monster	np.h:obl	np	h	obl		
sanzhi	dragon	0003	ag-ur	go.PFV-PRET	v:pred	v		pred		
sanzhi	dragon	0003	ca-r	be-F	rv_aux	rv_aux				
sanzhi	dragon	0003	hel-i-cːe-r	that-OBL-IN-ABL	dem_pro.h:obl	dem_pro	h	obl	306	bridging
sanzhi	dragon	0004	#	#	##	##				
sanzhi	dragon	0004	0	0_sister	0.h:a	0	h	a	302	
sanzhi	dragon	0004	b-erk-un	HPL-eat.PFV-PRET	v:pred	v		pred		
sanzhi	dragon	0004	ca-b	be-HPL	rv_aux	rv_aux				
sanzhi	dragon	0004	cin-na	REFL.SG-GEN	ln_refl.h:poss	ln_refl	h	poss	302	
sanzhi	dragon	0004	kulpat	family	np.h:p	np	h	p	301	
sanzhi	dragon	0004	#	#	##	##				
sanzhi	dragon	0004	c'il	then	other	other				
sanzhi	dragon	0004	0	0_sister	0.h:a	0	h	a	302	
sanzhi	dragon	0004	b-erk-un	HPL-eat.PFV-PRET	v:pred	v		pred		
sanzhi	dragon	0004	ca-b	be-HPL	rv_aux	rv_aux				
sanzhi	dragon	0004	libil	all<HPL>	ln	ln				
sanzhi	dragon	0004	šːan-te	fellow.villager-PL	np.h:p	np	h	p	307	new
sanzhi	dragon	0004	#	#	#cv	#cv				
sanzhi	dragon	0004	0	0_sister	0.h:a_cv	0	h	a_cv	302	
sanzhi	dragon	0004	ca	one	ln_num	ln_num				
sanzhi	dragon	0004	admi	person	np.h:p	np	h	p	308	bridging
sanzhi	dragon	0004	w-at-ur-re	M-let.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	dragon	0004	#	#	#pc	#pc				
sanzhi	dragon	0004	0	0_sister	0.h:a_cpa_pc	0	h	a_cpa_pc	302	
sanzhi	dragon	0004	0	0_person	0.h:obl	0	h	obl	308	
sanzhi	dragon	0004	cin-na	REFL.SG-GEN	ln_refl.h:poss	ln_refl	h	poss	302	
sanzhi	dragon	0004	cul-be	tooth-PL	np:p	np		p	309	bridging
sanzhi	dragon	0004	d-umkːa	NPL-sharp	other:lvc	other		lvc		
sanzhi	dragon	0004	d-irq'-an	NPL-do.IPFV-PTCP	v:pred	v		pred		
sanzhi	dragon	0005	#	#	##	##				
sanzhi	dragon	0005	il	that	ln_dem	ln_dem				
sanzhi	dragon	0005	rursːi-la	girl-GEN	np.h:obl	np	h	obl	302	
sanzhi	dragon	0005	už-ib	be-PRET	v:pred	v		pred		
sanzhi	dragon	0005	ca-w	be-M	rv_aux	rv_aux				
sanzhi	dragon	0005	ucːi	brother	np.h:s	np	h	s	310	new
sanzhi	dragon	0005	ħaˁlt'i-le-w	working-SPR-M	rn	rn				
sanzhi	dragon	0006	#	#	#cv	#cv				
sanzhi	dragon	0006	#	#	#rc_pc	#rc_pc				
sanzhi	dragon	0006	hel	that	dem_pro.h:s_pc	dem_pro	h	s_pc	310	
sanzhi	dragon	0006	saˁ-q'-aˁn	hither-go-PTCP	v:pred	v		pred		
sanzhi	dragon	0006	%	%	%	%				
sanzhi	dragon	0006	zamana	time	np:other	np		other		
sanzhi	dragon	0006	ču-la	REFL.PL-GEN	ln_refl.h:poss	ln_refl	h	poss	310	
sanzhi	dragon	0006	šːa	village.ERG	np:g	np		g	300	
sanzhi	dragon	0006	zunra	neighbour	ln	ln				
sanzhi	dragon	0006	šːan-te	fellow.villager-PL	np.h:s_ds_cv	np	h	s_ds_cv	311	new
sanzhi	dragon	0006	b-ik'-ul	HPL-say.IPFV-ICVB	v:pred	v		pred		
sanzhi	dragon	0006	ca-b	be-PL	rv_aux	rv_aux				
sanzhi	dragon	0006	#	#	##ds	##ds				
sanzhi	dragon	0006	u	2SG	pro.2:s	pro	2	s	310	
sanzhi	dragon	0006	abdal-de	fool-2SG	np.h:pred	np	h	pred		
sanzhi	dragon	0006	=w	=Q	=other	=other				
sanzhi	dragon	0006	#	#	##ds.neg	##ds.neg				
sanzhi	dragon	0006	0	0_brother	0.2:s	0	2	s	310	
sanzhi	dragon	0006	maˁ-q'-aˁtːa	PROH-go-PROH.SG	v:pred	v		pred		
sanzhi	dragon	0007	#	#	#ds_cv	#ds_cv				
sanzhi	dragon	0007	ala	2SG.GEN	ln_pro.2:poss	ln_pro	2	poss	310	
sanzhi	dragon	0007	rucːi	sister	np.h:s_cv	np	h	s_cv	302	
sanzhi	dragon	0007	aždaha	monster	np:obl	np		obl		
sanzhi	dragon	0007	ag-ur-re	go.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	dragon	0007	#	#	##ds	##ds				
sanzhi	dragon	0007	0	0_sister	0.h:a	0	h	a	302	
sanzhi	dragon	0007	libil	all<HPL>	np.h:p	np	h	p	307	
sanzhi	dragon	0007	b-erk-un	HPL-eat.PFV-PRET	v:pred	v		pred		
sanzhi	dragon	0007	ca-b	be-HPL	rv_aux	rv_aux				
sanzhi	dragon	0007	#	#	##ds.neg	##ds.neg				
sanzhi	dragon	0007	ča-k'al	who-INDEF	intrg_other.h:s	intrg_other	h	s		
sanzhi	dragon	0007	w-il	M-remain.PFV	v:pred	v		pred		
sanzhi	dragon	0007	akːu	NEG	rv	rv				
sanzhi	dragon	0007	#	#	#ds_pc	#ds_pc				
sanzhi	dragon	0007	0	0_sister	0.h:a_pc	0	h	a_pc	302	
sanzhi	dragon	0007	u	2SG	pro.2:p	pro	2	p	310	
sanzhi	dragon	0007	=ra	=and	=other	=other				
sanzhi	dragon	0007	ukː-an-de	eat.IPFV-PTCP-2SG	v:pred	v		pred		
sanzhi	dragon	0007	=n	=but	=other	=other				
sanzhi	dragon	0007	#	#	##ds.neg	##ds.neg				
sanzhi	dragon	0007	0	0_brother	0.2:s	0	2	s	310	
sanzhi	dragon	0007	maˁ-q'-aˁtːa	PROH-go-PROH.SG	v:pred	v		pred		
sanzhi	dragon	0007	#	#	#cv	#cv				
sanzhi	dragon	0007	0	0_they	0.h:s_ds_cv	0	h	s_ds_cv	311	
sanzhi	dragon	0007	b-ik'-ul	HPL-say.IPFV-ICVB	v:pred	v		pred		
sanzhi	dragon	0007	ca-b	be-PL	rv_aux	rv_aux				
sanzhi	dragon	0008	#	#	#cv.neg	#cv.neg				
sanzhi	dragon	0008	durħuˁ	boy	np.h:s_cps_cv	np	h	s_cps_cv	310	
sanzhi	dragon	0008	w-iχči	M-believe	other:lvc	other		lvc		
sanzhi	dragon	0008	a-ag-ur-re	NEG-go.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	dragon	0008	#	#	##	##				
sanzhi	dragon	0008	0	0_brother	0.h:s	0	h	s	310	
sanzhi	dragon	0008	ag-ur	go.PFV-PRET	v:pred	v		pred		
sanzhi	dragon	0008	ca-w	be-M	rv_aux	rv_aux				
sanzhi	dragon	0009	#	#	#cv	#cv				
sanzhi	dragon	0009	0	0_brother	0.h:s_cps_cv	0	h	s_cps_cv	310	
sanzhi	dragon	0009	šːi-l-cːe-w	village-OBL-IN-M	np:l	np		l	300	
sanzhi	dragon	0009	er	look	other:lvc	other		lvc		
sanzhi	dragon	0009	ik'-ul	look.at.IPFV-ICVB	v:pred	v		pred		
sanzhi	dragon	0009	ca-w	be-M	rv_aux	rv_aux				
sanzhi	dragon	0009	#	#	##neg	##neg				
sanzhi	dragon	0009	ča-k'al	who-INDEF	intrg_other.h:s	intrg_other	h	s		
sanzhi	dragon	0009	caʔarah	not.one	ln	ln				
sanzhi	dragon	0009	admi	person	np.h:other	np	h	other		
sanzhi	dragon	0009	w-akːu	M-NEG	other:predex	other		predex		
sanzhi	dragon	0010	#	#	##	##				
sanzhi	dragon	0010	0	0_brother	0.h:s	0	h	s	310	
sanzhi	dragon	0010	qili	home	np:g	np		g	312	bridging
sanzhi	dragon	0010	wi-ag-ur	in(side)-go.PFV-PRET	v:pred	v		pred		
