corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sanzhi	kurban	0001	#	#	##	##				
sanzhi	kurban	0001	ca	one	ln_deti	ln_deti				
sanzhi	kurban	0001	zamana	time	np:other	np		other		
sanzhi	kurban	0001	durħ-ne	boy-PL	np.h:voc	np	h	voc	402	bridging
sanzhi	kurban	0001	0	0_I	0.1:a_ds	0	1	a_ds	400	
sanzhi	kurban	0001	heχ	DEM.down	other	other				
sanzhi	kurban	0001	ašːi-j	2PL-DAT	pro.2:g	pro	2	g	402	
sanzhi	kurban	0001	χabar	story	np:p	np		p		
sanzhi	kurban	0001	b-urs-ille	N-tell-COND.1.PRS	v:pred	v		pred		
sanzhi	kurban	0001	hi-la	who.OBL-GEN	rn_np.h:poss	rn_np	h	poss		
sanzhi	kurban	0002	#	#	##	##				
sanzhi	kurban	0002	iž	this	ln_dem	ln_dem				
sanzhi	kurban	0002	di-la	1SG-GEN	ln_pro.1:poss	ln_pro	1	poss	400	
sanzhi	kurban	0002	ucːiq'ar	cousin	np.h:s	np	h	s	401	new
sanzhi	kurban	0002	χe-w	exist.down-M	other:predex	other		predex		
sanzhi	kurban	0002	Mamma-la	Mamma-GEN	ln_pn_np.h:poss	ln_pn_np	h	poss		
sanzhi	kurban	0002	Q'urban	Kurban	pn_np.h:other	pn_np	h	other	401	
sanzhi	kurban	0002	b-ik'ʷ-ul	N-say-ICVB	other	other				
sanzhi	kurban	0002	#	#	##	##				
sanzhi	kurban	0002	ašːi-j	2PL-DAT	pro.2:ncs	pro	2	ncs	402	bridging
sanzhi	kurban	0002	0	0_Kurban	0.h:p	0	h	p	401	
sanzhi	kurban	0002	w-alχ-a-tːa	M-know.IPFV-HAB.PST-2PL	v:pred	v		pred		
sanzhi	kurban	0003	#	#	##	##				
sanzhi	kurban	0003	#	#	#cv	#cv				
sanzhi	kurban	0003	c'ili	then	other	other				
sanzhi	kurban	0003	r-ebč'-ib-le	F-die.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	kurban	0003	di-la	1SG-GEN	ln_pro.1:poss	ln_pro	1	poss	400	
sanzhi	kurban	0003	rucːi	sister	np.h:s_cv	np	h	s_cv	403	bridging
sanzhi	kurban	0003	#	#	#cv	#cv				
sanzhi	kurban	0003	aʁʷc'alla	forty.days	np:s_cv	np		s_cv	404	bridging
sanzhi	kurban	0003	d-ič-ib-le	NPL-occur.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	kurban	0003	%	%	%	%				
sanzhi	kurban	0003	aʁʷc'alla-li-j	forty.days-OBL-DAT	np:other	np		other		
sanzhi	kurban	0003	gu-či-b-ič-ib	down-SPR-HPL-occur.PFV-PRET	v:pred	v		pred		
sanzhi	kurban	0003	libil	all<HPL>	np.h:s	np	h	s	405	bridging
sanzhi	kurban	0003	=ra	=and	=other	=other				
sanzhi	kurban	0003	di-la	1SG-GEN	ln_pro.1:poss	ln_pro	1	poss	400	
sanzhi	kurban	0003	qili	home	np:l	np		l	406	bridging
sanzhi	kurban	0004	#	#	##	##				
sanzhi	kurban	0004	wallah	by.God	other	other				
sanzhi	kurban	0004	b-ik'ʷ-ar	HPL-say.IPFV-PRS	v:pred	v		pred		
sanzhi	kurban	0004	na	now	other	other				
sanzhi	kurban	0004	hel-tːi	that-PL	dem_pro.h:s_ds	dem_pro	h	s_ds	407	bridging
sanzhi	kurban	0004	masqara-lla	joke-GEN	np:obl	np		obl		
sanzhi	kurban	0004	#	#	#ac_in	#ac_in				
