corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sanzhi	patima	0001	#	#	#nc	#nc				
sanzhi	patima	0001	hana	now	nc	nc				
sanzhi	patima	0001	du-l	1SG-ERG	nc	nc				
sanzhi	patima	0001	b-urs-ul-da	N-tell-ICVB-1	nc	nc				
sanzhi	patima	0001	χabar	story	nc	nc				
sanzhi	patima	0001	qixːunaj-la	qixunaj-GEN	nc	nc				
sanzhi	patima	0001	b-ik'ʷ-an	N-say.IPFV-PTCP	nc	nc				
sanzhi	patima	0001	χabar	story	nc	nc				
sanzhi	patima	0001	ca-b	be-N	nc	nc				
sanzhi	patima	0002	#	#	#nc	#nc				
sanzhi	patima	0002	r-iž-ub	F-be.PFV-PRET	nc	nc				
sanzhi	patima	0002	ca-r	be-F	nc	nc				
sanzhi	patima	0002	r-už-ib-le-kːu	F-be-PRET-CVB-NEG	nc	nc				
sanzhi	patima	0002	ca	one	nc	nc				
sanzhi	patima	0002	qaˁšqaˁr	scab	nc	nc				
sanzhi	patima	0002	Pat'ima	Patima	nc	nc				
sanzhi	patima	0002	rursːi	girl	nc_np.h	nc_np	h		630	new
sanzhi	patima	0003	#	#	##	##				
sanzhi	patima	0003	il	that	dem_pro.h:s	dem_pro	h	s	630	
sanzhi	patima	0003	kulpat-li-cːe-r	family-OBL-IN-ABL	np:obl	np		obl	601	bridging
sanzhi	patima	0003	bah	most	other	other				
sanzhi	patima	0003	χula-ce	big-ATTR.SG	other:pred	other		pred		
sanzhi	patima	0003	r-už-ib	F-be-PRET	cop	cop				
sanzhi	patima	0003	ca-r	be-F	rv_aux	rv_aux				
sanzhi	patima	0004	#	#	##	##				
sanzhi	patima	0004	caj-na	one-time	other	other				
sanzhi	patima	0004	marka-la	rain-GEN	np:other	np		other		
sanzhi	patima	0004	hitːi	after	adp	adp				
sanzhi	patima	0004	0	0_Patima	0.h:s	0	h	s	630	
sanzhi	patima	0004	hitːi-če-r-uq-un	SPR-F-go.PFV-PRET	v:pred	v		pred		
sanzhi	patima	0004	ca-r	be-F	rv_aux	rv_aux				
sanzhi	patima	0004	#	#	#ac_in	#ac_in				
sanzhi	patima	0004	qar	up	nc	nc				
sanzhi	patima	0004	qal-sa	house-ANTE	np:l	np		l	602	new
sanzhi	patima	0004	0	0_Patima	0.h:a_cps_in	0	h	a_cps_in	630	
sanzhi	patima	0004	qʷaˁrš	sweep	other:lvc	other		lvc		
sanzhi	patima	0004	b-arq'-ij	N-do.PFV-INF1	v:pred	v		pred		
sanzhi	patima	0005	#	#	##	##				
sanzhi	patima	0005	#	#	#ac_pc	#ac_pc				
sanzhi	patima	0005	0	0_Patima	0.h:a_cps_pc	0	h	a_cps_pc	630	
sanzhi	patima	0005	qʷaˁrš	sweep	other:lvc	other		lvc		
sanzhi	patima	0005	b-irq'-an	N-do.IPFV-PTCP	v:pred	v		pred		
sanzhi	patima	0005	=qːel	=when	=adp	=adp				
sanzhi	patima	0005	%	%	%	%				
sanzhi	patima	0005	0	0_Patima	0.h:ncs	0	h	ncs	630	
sanzhi	patima	0005	b-arčː-ib	N-find.PFV-PRET	v:pred	v		pred		
sanzhi	patima	0005	ca-b	be-N	rv_aux	rv_aux				
sanzhi	patima	0005	qix	nut	np:p	np		p	603	new
sanzhi	patima	0006	#	#	##	##				
sanzhi	patima	0006	#	#	#cv	#cv				
sanzhi	patima	0006	cin-ni	REFL.SG-ERG	refl.h:a_cv	refl	h	a_cv	630	
sanzhi	patima	0006	a-b-erkʷ-un-ne	NEG-N-eat.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	patima	0006	0	0_nut	0:p	0		p	603	
sanzhi	patima	0006	%	%	%	%				
sanzhi	patima	0006	0	0_Patima	0.h:a_cpa	0	h	a_cpa	630	
sanzhi	patima	0006	turba-le-r	chimney-SPR-ABL	np:obl	np		obl	604	bridging
sanzhi	patima	0006	lak'	throw	other:lvc	other		lvc		
sanzhi	patima	0006	bi-ka-b-arq'-ib	in(side)-down-N-do.PFV-PRET	v:pred	v		pred		
sanzhi	patima	0006	ca-b	be-N	rv_aux	rv_aux				
sanzhi	patima	0006	qili	home	np:g	np		g	602	
sanzhi	patima	0006	hel	that	ln_dem	ln_dem				
sanzhi	patima	0006	qix	nut	np:p	np		p	603	
sanzhi	patima	0007	#	#	##	##				
sanzhi	patima	0007	#	#	#ac	#ac				
sanzhi	patima	0007	c'il	then	other	other				
sanzhi	patima	0007	0	0_Patima	0.h:a	0	h	a	630	
sanzhi	patima	0007	ʡaˁči	work	np:p	np		p		
sanzhi	patima	0007	ha-b-erχː-ur	upwards-N-fulfil.PFV-PRET	v:pred	v		pred		
sanzhi	patima	0007	=itːi	=after	=adp	=adp				
sanzhi	patima	0007	#	#	#ac	#ac				
sanzhi	patima	0007	0	0_Patima	0.h:s	0	h	s	630	
sanzhi	patima	0007	či-r-ka-r-uq-un	SPR-ABL-down-F-go.PFV-PRET	v:pred	v		pred		
sanzhi	patima	0007	=qːel	=when	=adp	=adp				
sanzhi	patima	0007	%	%	%	%				
sanzhi	patima	0007	qili-b	home-PL	np:pred_l	np		pred_l	602	
sanzhi	patima	0007	ruc-be	sister-PL	np.h:s	np	h	s	605	bridging
sanzhi	patima	0007	#	#	##	##				
sanzhi	patima	0007	0	0_sisters	0.h:s	0	h	s	605	
sanzhi	patima	0007	b-iħ-ib-le	HPL-wrestle.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	patima	0007	b-už-ib	HPL-stay-PRET	rv_aux	rv_aux				
sanzhi	patima	0007	ca-b	be-HPL	rv_aux	rv_aux				
sanzhi	patima	0007	hel	that	ln_dem	ln_dem				
sanzhi	patima	0007	qix	nut	np:obl	np		obl	603	
sanzhi	patima	0007	bahanne	because.of	adp	adp				
sanzhi	patima	0007	#	#	##ds	##ds				
sanzhi	patima	0007	dam	1SG.DAT	pro.1:ncs	pro	1	ncs	606	bridging
sanzhi	patima	0007	b-ikː-i	N-want.IPFV-HAB.PST	v:pred	v		pred		
sanzhi	patima	0007	0	0_nut	0:p	0		p	603	
sanzhi	patima	0007	#	#	#cv	#cv				
sanzhi	patima	0007	caba	one.HPL	np.h:s_ds_cv	np	h	s_ds_cv	606	
sanzhi	patima	0007	b-ik'-ul	HPL-say.IPFV-ICVB	v:pred	v		pred		
sanzhi	patima	0007	#	#	##ds	##ds				
sanzhi	patima	0007	dam	1SG.DAT	pro.1:ncs	pro	1	ncs	607	bridging
sanzhi	patima	0007	b-ikː-i	N-want.IPFV-HAB.PST	v:pred	v		pred		
