corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sanzhi	ramazan	0001	#	#	##	##				
sanzhi	ramazan	0001	ha-jʁ-ib	upwards-come.PFV-PRET	v:pred	v		pred		
sanzhi	ramazan	0001	ca-w	be-M	rv_aux	rv_aux				
sanzhi	ramazan	0001	karispendent	journalist[R]	np.h:s	np	h	s	700	new
sanzhi	ramazan	0001	kːazat-la	newspaper-GEN	rn_np:poss	rn_np		poss		
sanzhi	ramazan	0001	#	#	#ac_in	#ac_in				
sanzhi	ramazan	0001	0	0_journalist	0.h:a_in	0	h	a_in	700	
sanzhi	ramazan	0001	Tawlu-j	Tawlu-DAT	pn_np.h:obl	pn_np	h	obl	701	bridging
sanzhi	ramazan	0001	ce	what	intrg_other:p	intrg_other		p		
sanzhi	ramazan	0001	b-arq'-ij	N-do.PFV-INF1	v:pred	v		pred		
sanzhi	ramazan	0001	heχ	DEM.down	other	other				
sanzhi	ramazan	0002	#	#	#cv	#cv				
sanzhi	ramazan	0002	0	0_journalist	0.h:a_cv	0	h	a_cv	700	
sanzhi	ramazan	0002	statja	article[R]	np:p	np		p	702	bridging
sanzhi	ramazan	0002	b-elk'-un-ne	N-write.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	ramazan	0002	kak	as[R]	adp	adp				
sanzhi	ramazan	0002	peredowik-li-j	leading[R]-OBL-DAT	np.h:other	np	h	other		
sanzhi	ramazan	0003	#	#	##	##				
sanzhi	ramazan	0003	nu	well	other	other				
sanzhi	ramazan	0003	0	0_journalist	0.h:a	0	h	a	700	
sanzhi	ramazan	0003	b-elk'-un	N-write.PFV-PRET	v:pred	v		pred		
sanzhi	ramazan	0003	ca-b	be-N	rv_aux	rv_aux				
sanzhi	ramazan	0003	qːuʁa-ce	beautiful-ATTR.SG	ln_adj	ln_adj				
sanzhi	ramazan	0003	statja	article[R]	np:p	np		p	702	
sanzhi	ramazan	0003	#	#	##	##				
sanzhi	ramazan	0003	heχ-i-l	DEM.down-OBL-ERG	dem_pro.h:a_cpa	dem_pro	h	a_cpa	700	
sanzhi	ramazan	0003	ħaˁdur	ready	other:lvc	other		lvc		
sanzhi	ramazan	0003	b-arq'-ib	N-do.PFV-PRET	v:pred	v		pred		
sanzhi	ramazan	0003	ca-b	be-N	rv_aux	rv_aux				
sanzhi	ramazan	0003	#	#	#cc:p	#cc		p		
sanzhi	ramazan	0003	čum	how.many	ln	ln				
sanzhi	ramazan	0003	sotok	hectare[R]	np:other	np		other		
sanzhi	ramazan	0003	čum	how.many	ln	ln				
sanzhi	ramazan	0003	gektar	hectare[R]	np:other	np		other		
sanzhi	ramazan	0003	0	0_Tawlu	0.h:a	0	h	a	701	
sanzhi	ramazan	0003	ce	what	intrg_other:p	intrg_other		p		
sanzhi	ramazan	0003	b-irq'-ul-de	N-do.IPFV-ICVB-PST	v:pred	v		pred		
sanzhi	ramazan	0004	#	#	#cc:other	#cc		other		
sanzhi	ramazan	0004	cet'-le	how-ADVZ	other	other				
sanzhi	ramazan	0004	0	0_Tawlu	0.h:s	0	h	s	701	
sanzhi	ramazan	0004	perewodik	advanced[R]	other	other				
sanzhi	ramazan	0004	ag-ur-de	go.PFV-PRET-PST	v:pred	v		pred		
sanzhi	ramazan	0004	lidil	all<PL>	other	other				
sanzhi	ramazan	0004	cik'al	something	other	other				
sanzhi	ramazan	0005	#	#	##ds	##ds				
sanzhi	ramazan	0005	nu	well	other	other				
sanzhi	ramazan	0005	ixʷle	early	other	other				
sanzhi	ramazan	0005	0	0_Tawlu	0.1:s	0	1	s	701	
sanzhi	ramazan	0005	h-ercː-ud	upwards-stand.IPFV-1	v:pred	v		pred		
sanzhi	ramazan	0005	#	#	#cv	#cv				
sanzhi	ramazan	0005	0	0_Tawlu	0.h:s_ds_cv	0	h	s_ds_cv	701	
sanzhi	ramazan	0005	ik'-ul	say.IPFV-ICVB	v:pred	v		pred		
sanzhi	ramazan	0005	ca-w	be-M	rv_aux	rv_aux				
sanzhi	ramazan	0005	#	#	##ds	##ds				
sanzhi	ramazan	0005	q'an-ne	late-ADVZ	other	other				
sanzhi	ramazan	0005	0	0_Tawlu	0.1:s	0	1	s	701	
sanzhi	ramazan	0005	gu-r	down-ABL	other	other				
sanzhi	ramazan	0005	w-ax-ud	M-go-PRS.1	v:pred	v		pred		
sanzhi	ramazan	0005	%	%	%	%				
sanzhi	ramazan	0005	hel-i-j	that-OBL-DAT	nc	nc				
sanzhi	ramazan	0005	čut	NC	nc	nc				
sanzhi	ramazan	0005	čut	NC	nc	nc				
sanzhi	ramazan	0005	tam	there[R]	nc	nc				
sanzhi	ramazan	0006	#	#	#cv	#cv				
sanzhi	ramazan	0006	c'il	then	other	other				
sanzhi	ramazan	0006	0	0_Tawlu	0.h:s_ds_cv	0	h	s_ds_cv	701	
sanzhi	ramazan	0006	familija	surname[R]	np:other	np		other	703	bridging
sanzhi	ramazan	0006	ik'-ul	say.IPFV-ICVB	v:pred	v		pred		
sanzhi	ramazan	0006	ca-w	be-M	rv_aux	rv_aux				
sanzhi	ramazan	0006	heχ-i-cːe	DEM.down-OBL-IN	dem_pro.h:g	dem_pro	h	g	700	
sanzhi	ramazan	0006	iχ	DEM.down	other	other				
sanzhi	ramazan	0007	#	#	#cv	#cv				
sanzhi	ramazan	0007	iχ	DEM.down	dem_pro.h:g	dem_pro	h	g	700	
sanzhi	ramazan	0007	Tawlu	Tawlu	pn_np.h:s_ds_cv	pn_np	h	s_ds_cv	701	
sanzhi	ramazan	0007	ik'-ul	say.IPFV-ICVB	v:pred	v		pred		
sanzhi	ramazan	0007	žaˁparow	Zhaparov	pn_np:other	pn_np		other		
sanzhi	ramazan	0008	imja	given.name[R]	nc	nc				
sanzhi	ramazan	0008	Tawlu	Tawlu	nc	nc				
sanzhi	ramazan	0009	otčestwo	patronym[R]	nc	nc				
sanzhi	ramazan	0009	Tawluewič	Tawluevich	nc	nc				
sanzhi	ramazan	0010	#	#	#cv	#cv				
sanzhi	ramazan	0010	heχ	DEM.down	dem_pro.h:s_cps_cv	dem_pro	h	s_cps_cv	701	
sanzhi	ramazan	0010	q'uc'	offence	other	other				
sanzhi	ramazan	0010	ʡaˁsi	angry	other:lvc	other		lvc		
sanzhi	ramazan	0010	iχ-ub-le	be.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	ramazan	0010	#	#	#cv	#cv				
sanzhi	ramazan	0010	#	#	#cc_pc	#cc_pc				
sanzhi	ramazan	0010	0	0_Tawlu	0.h:a_pc	0	h	a_pc	701	
sanzhi	ramazan	0010	ca-w	REFL-M	refl.h:p	refl	h	p	700	
sanzhi	ramazan	0010	dukal	smile	np:other	np		other		
sanzhi	ramazan	0010	=tːi	=after	=adp	=adp				
sanzhi	ramazan	0010	kerħ-aˁn	make.fun.IPFV.M-PTCP	v:pred	v		pred		
sanzhi	ramazan	0010	ca-w	be-M	rv_aux	rv_aux				
sanzhi	ramazan	0010	%	%	%	%				
sanzhi	ramazan	0010	0	0_journalist	0.h:s_ds_cv	0	h	s_ds_cv	700	
sanzhi	ramazan	0010	ik'-ul	say.IPFV-ICVB	v:pred	v		pred		
sanzhi	ramazan	0010	#	#	##	##				
sanzhi	ramazan	0010	0	0_journalist	0.h:a	0	h	a	700	
sanzhi	ramazan	0010	žaˁndaruw	Zhandaruv	ln_pn_np	ln_pn_np				
sanzhi	ramazan	0010	Tawlu	Tawlu	ln_pn_np	ln_pn_np				
sanzhi	ramazan	0010	Tawluewič	Tawluevich	pn_np:p	pn_np		p		
sanzhi	ramazan	0010	b-elk'-un-ne-de	N-write.PFV-PRET-CVB-PST	v:pred	v		pred		
sanzhi	ramazan	0011	#	#	##	##				
sanzhi	ramazan	0011	0	0_journalist	0.h:a	0	h	a	700	
sanzhi	ramazan	0011	Tawlu	Tawlu	ln_pn_np	ln_pn_np				
sanzhi	ramazan	0011	žaˁndaruwič	Zhandarovich	pn_np:p	pn_np		p		
sanzhi	ramazan	0011	b-elk'-un-ne-de	N-write.PFV-PRET-CVB-PST	v:pred	v		pred		
sanzhi	ramazan	0012	[AUD]	[AUD]	[AUD]	[AUD]				
sanzhi	ramazan	0012	#	#	#nc	#nc				
sanzhi	ramazan	0012	ca-w	REFL-M	nc_refl.h	nc_refl	h		700	
sanzhi	ramazan	0012	qːumuqlan-de	Kumyk-PST	nc	nc				
sanzhi	ramazan	0012	=w	=Q	nc	nc				
sanzhi	ramazan	0013	#	#	#nc	#nc				
sanzhi	ramazan	0013	aʔa	no	nc	nc				
sanzhi	ramazan	0013	0	0_journalist	nc_0.h	nc_0	h		700	
sanzhi	ramazan	0013	darkːʷan-de	Dargwa-PST	nc	nc				
sanzhi	ramazan	0014	#	#	#cv	#cv				
sanzhi	ramazan	0014	c'il	then	other	other				
sanzhi	ramazan	0014	0	0_Tawlu	0.h:ncs_cv	0	h	ncs_cv	701	
sanzhi	ramazan	0014	0	0_journalist	0.h:p	0	h	p	700	
sanzhi	ramazan	0014	w-arčː-ib-le	M-find.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	ramazan	0014	#	#	#cv	#cv				
sanzhi	ramazan	0014	0	0_they	0.h:a_cv	0	h	a_cv	796	bridging
sanzhi	ramazan	0014	hel	that	ln_dem	ln_dem			701	
sanzhi	ramazan	0014	wstreča	meet[R]	np:p	np		p		
