corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sanzhi	tape	0001	#	#	##	##				
sanzhi	tape	0001	qːajakent-li-j	Kajakent-OBL-DAT	pn_np:l	pn_np		l	800	bridging
sanzhi	tape	0001	hej-ka-gu-d-a	this-down-SUB-1/2PL-SPR	dem_pro:obl	dem_pro		obl		
sanzhi	tape	0001	0	0_we	0.1:s	0	1	s	801	bridging
sanzhi	tape	0001	ag-ur-da	go.PFV-PRET-1	v:pred	v		pred		
sanzhi	tape	0001	ʡaˁbdulχaliq'	Abdulkhalik	pn_np.h:appos	pn_np	h	appos	802	bridging
sanzhi	tape	0001	=ra	=and	=rn	=rn				
sanzhi	tape	0001	ʡisaq'adi	Isakadi	rn_pn_np.h	rn_pn_np	h		803	bridging
sanzhi	tape	0001	=ra	=and	=rn	=rn				
sanzhi	tape	0001	du	1SG	rn_pro.1	rn_pro	1		804	bridging
sanzhi	tape	0001	=ra	=and	=rn	=rn				
sanzhi	tape	0001	nišːa-la	1PL-GEN	ln_pro.1:poss	ln_pro	1	poss	801	
sanzhi	tape	0001	qːulluqː-a-j	matter-OBL-DAT	np:other	np		other	805	bridging
sanzhi	tape	0002	#	#	##	##				
sanzhi	tape	0002	c'il	then	other	other				
sanzhi	tape	0002	0	0_we	0.1:s	0	1	s	801	
sanzhi	tape	0002	heχtːu-d	there.down-1/2PL	other:g	other		g		
sanzhi	tape	0002	itːu	there	other:g	other		g	800	
sanzhi	tape	0002	d-ič-ib-da	1/2PL-occur.PFV-PRET-1	v:pred	v		pred		
sanzhi	tape	0002	#	#	##	##				
sanzhi	tape	0002	0	0_we	0.1:s	0	1	s	801	
sanzhi	tape	0002	ištːu	here	other:g	other		g		
sanzhi	tape	0002	d-ič-ib-da	1/2PL-occur.PFV-PRET-1	v:pred	v		pred		
sanzhi	tape	0002	#	#	##	##				
sanzhi	tape	0002	0	0_we	0.1:a	0	1	a		
sanzhi	tape	0002	nišːa-lla	1PL-GEN	ln_pro.1:poss	ln_pro	1	poss	801	
sanzhi	tape	0002	qːulluqː-e	matter-PL	np:p	np		p	805	
sanzhi	tape	0002	d-arq'-ib-da	NPL-do.PFV-PRET-1	v:pred	v		pred		
sanzhi	tape	0003	#	#	#cv	#cv				
sanzhi	tape	0003	0	0_we	0.1:s_cv	0	1	s_cv	801	
sanzhi	tape	0003	heχ-ka-de	DEM.down-down	other:obl	other		obl		
sanzhi	tape	0003	tːura-ha-d-eʁ-ib-le	outside-upwards-1/2PL-go.PFV-PRET-CVB	v:pred	v		pred		
sanzhi	tape	0003	#	#	#ac_pc	#ac_pc				
sanzhi	tape	0003	heštːi	these	dem_pro.h:a	dem_pro	h	a	818	new
sanzhi	tape	0003	qul-b-a-lla	house-PL-OBL-GEN	ln_np:poss	ln_np		poss		
sanzhi	tape	0003	meržewanie	topographical.survey	np:p	np		p	806	new
sanzhi	tape	0003	b-irq'-an	N-do.IPFV-PTCP	v:pred	v		pred		
sanzhi	tape	0003	#	#	##	##				
sanzhi	tape	0003	ce	what	intrg_other:s	intrg_other		s		
sanzhi	tape	0003	hehe	NC	other	other				
sanzhi	tape	0003	qːajakent-la	Kajakent-GEN	ln_pn_np:poss	ln_pn_np		poss	800	
sanzhi	tape	0003	kolcewoj-la	roundabout[R]-GEN	ln_np:poss	ln_np		poss	807	new
sanzhi	tape	0003	hej	this	ln_dem	ln_dem				
sanzhi	tape	0003	šːal-le-b	side-SPR-N	np:pred_l	np		pred_l	808	bridging
sanzhi	tape	0003	ca-b	be-N	cop	cop				
sanzhi	tape	0003	#	#	##	##				
sanzhi	tape	0003	#	#	#rc_pc	#rc_pc				
sanzhi	tape	0003	hej	this	other	other				
sanzhi	tape	0003	0	0_surveyors	0.h:a_pc	0	h	a_pc	818	
sanzhi	tape	0003	palan-t-a-lla	parcel-PL-OBL-GEN	ln_np:poss	ln_np		poss		
