refind,label,description,class,notes
∅,,,,
101,the war,,abs,
102,years of 0001,,tme,
103,speaker,,hum,
104,name of 0003,,abs,
105,record book,,inm,
106,village head,,hum,
107,the year 1953,,tme,
108,Stalin,,hum,
109,cars,,inm,
110,trains,,inm,
111,mountains,,loc,
112,sound of 0010,,inm,
113,there,,loc,
114,sheep,,anm,
115,kolkhoz,,abs,
116,army,,abs,
117,enlistment office,,inm,
118,application,,inm,
119,train,,inm,
120,army officials,,hum,
121,0003 and other recruits,,hum,
122,Voronezh,,loc,
123,a captain,,hum,
124,soldiers,,hum,
125,hospital,,inm,
126,a corridor in 0025,,loc,
127,commissariat,,loc,
128,Dargi people,,hum,
129,canteen,,loc,
130,porridge,,mss,
131,half of 0030,,mss,
132,other half of 0030,,mss,
133,eyes of 0003,,bdp,
134,a train,,inm,
135,army officials,,hum,
136,Kursk,,loc,
137,Kursk station,,loc,
138,car of 0035,,inm,
139,barracks,,loc,
140,the Russian language,,abs,
141,people,,hum,
142,guardhouse,,inm,
143,guard company,,hum,
144,people,,hum,
145,mine,,loc,
146,volunteers,,hum,
147,mother of 0003,,hum,
148,miners,,hum,
149,three Daghestani,,hum,
150,two Russians,,hum,
151,finger of 0003,,bdp,
152,an engine,,inm,
153,hospital,,inm,
154,home of 0003,,loc,
155,money,,inm,
156,mine officals,,hum,
157,people,,hum,
158,prosecutor,,hum,
159,Urkaraq,,loc,
160,house of 0003,,inm,
161,documents,,inm,
162,Sanzhi,,loc,
163,driving course,,loc,
164,workers,,hum,
165,wine factory,,inm,
166,wine,,inm,
167,story,,abs,
168,people,,hum,
169,here,,loc,
170,events,,abs,
171,service,,abs,
172,people,,hum,
201,father of 0020,,hum,
202,a flock of sheep,,anm,
203,a place,,loc,
204,trees,,inm,
205,home of 0020,,loc,
206,words of 0001,,abs,
207,apple tree,,inm,
208,apples,,inm,
209,bazhuk,,hum,
210,apples,,inm,
211,a sack,,inm,
212,a place,,loc,
213,bush,,loc,
214,house of 0009,,loc,
215,a pot,,inm,
216,stones,,inm,
217,a box,,inm,
218,little finger of 0009,,bdp,
219,water in 0015,,mss,
220,a boy,,hum,
301,a family,,hum,
302,a girl,,hum,
303,dogs,,anm,
304,food for 0003,,inm,
305,people,,hum,
306,eating people,,abs,
307,villagers,,hum,
308,one villager,,hum,
309,teeth of 0002,,bdp,
310,brother of 0002,,hum,
311,other villagers,,hum,
312,house of 0001,,inm,
313,a mouse,,anm,
314,house of 0013,,loc,
315,story,,abs,
316,other village,,loc,
317,three trees,,inm,
318,one of 0017,,inm,
319,village dogs,,anm,
