ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
asabali_0001,mcsanzhi,χalq' kːušlede daˁwila dusmacːebde,#	χalq'	kːuš-le-de	#	0	daˁwi-la	dus-m-a-cːe-b-de,#	people	hungry-ADVZ-PST	#	0	war-GEN	year-PL-OBL-IN-HPL-PST,The people were hungry; this was during the years of war.,en,MORPHEME_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,0,4394,##	np.h:s	other:pred	##	0:s	ln_np:poss	np:pred_other,,asabali,∅	172	∅	∅	167	101	102,∅	172	∅	∅	167	101	102,∅	bridging	∅	∅	bridging	unused	bridging
asabali_0002,mcsanzhi,"dila zu wabše, knigalcːeb, selsawetlicːeb belk'unne bakːʷi",#	di-la	zu	wabše	kiniga-l-cːe-b	selsawet-li-cːe-b	b-elk'-un-ne	b-akːʷ-i,#	1SG-GEN	name	at.all	book-OBL-IN-N	village.head-OBL-IN-N	N-write.PFV-PRET-CVB	N-NEG-HAB.PST,"My name was not recorded at all, not in the book, not at the village head.",en,MORPHEME_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,4394,12522,##neg	ln_pro.1:poss	np:s	other	np:other	np.h:other	v:pred	rv_aux,,asabali,∅	103	104	∅	105	106	∅	∅,∅	103	104	∅	105	106	∅	∅,∅	bridging	bridging	∅	bridging	bridging	∅	∅
asabali_0003,mcsanzhi,kelgunda xuc'anu ʡaˁbra dus di... ʡaˁbra dussicːew,#	0	kelg-un-da	xu-c'a-nu	ʡaˁb-ra	dus	di	ʡaˁb-ra	dus-si-cːe-w,#	0_I	remain.PFV-PRET-1	five-tenth-PRT	three-NUM	year	NC	three-NUM	year-OBL-IN-M,I was there in the year 1953.,en,MORPHEME_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,12522,18042,##	0.1:s	v:pred	ln	ln	np:other	nc	ln	np:other,,asabali,∅	103	∅	∅	∅	∅	∅	∅	107,∅	103	∅	∅	∅	∅	∅	∅	107,∅	∅	∅	∅	∅	∅	∅	∅	unused
asabali_0004,mcsanzhi,"Istalin webč'ible, bisːul χalq'",#	istalin	w-ebč'-ib-le	#	b-isː-ul	χalq',#	Stalin	M-die.PFV-PRET-CVB	#	N-cry-ICVB	people,"When Stalin died, the people cried.",en,MORPHEME_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,18042,23100,#cv	pn_np.h:s_cv	v:pred	#cv	v:pred	np.h:s_cv,,asabali,∅	108	∅	∅	∅	168,∅	108	∅	∅	∅	168,∅	unused	∅	∅	∅	bridging
asabali_0005,mcsanzhi,"webč'ible Istalin, mašinte, pojezde t'aš aʁible",#	w-ebč'-ib-le	istalin	#	mašin-te	pojezd-e	t'aš	aʁ-ib-le,#	M-die.PFV-PRET-CVB	Stalin	#	car-PL	train-PL	stop	do.PFV-PRET-CVB,"When Stalin died, trains and cars were stopped.",en,MORPHEME_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,23100,28371,#cv	v:pred	pn_np.h:s_cv	#cv	np:a_cps_cv	rn_np	other:lvc	v:pred,,asabali,∅	∅	108	∅	109	110	∅	∅,∅	∅	108	∅	109	110	∅	∅,∅	∅	∅	∅	bridging	bridging	∅	∅
asabali_0006,mcsanzhi,"tːuːˁtː dik'ul duč'ini, daže hextːi duburtacːe t'ama hadaširi",#	#	0	tːuːˁtː	d-ik'-ul	%	0	d-uč'-ini	#	daže	hex-tːi	dubur-t-a-cːe	t'ama	ha-d-aš-iri,#	#	0_trains	tut	NPL-say.IPFV-ICVB	%	0_trains	NPL-sing.IPFV-HAB.PST	#	even	DEM.up-PL	mountain-PL-OBL-IN	sound	upwards-NPL-go-HAB.PST,"They made tuuuut, the sound went even to the mountains.",en,MORPHEME_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,28371,37172,##	#cv	0:s_ds_cv	other	v:pred	%	0:s	v:pred	##	other	ln_dem	np:g	np:s	v:pred,,asabali,∅	∅	110	∅	∅	∅	110	∅	∅	∅	∅	111	112	∅,∅	∅	110	∅	∅	∅	110	∅	∅	∅	∅	111	112	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	bridging	∅
asabali_0007,mcsanzhi,"c'il heltːuw kelgunda, macːalsa waxul kalχuzla",#	0	c'il	hel-tːu-w	kelg-un-da	#	0	macːa-l-sa	w-ax-ul	kalχuz-la,#	0_I	then	that-LOC-M	remain.PFV-PRET-1	#	0_I	sheep-OBL-ANTE	M-go-ICVB	kolkhoz-GEN,"I lived there, I looked after the sheep of the kolkhoz [i.e. worked as a shepherd].",en,MORPHEME_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,37172,44450,##	0.1:s	other	dem_pro:l	v:pred	#cv	0.1:s_cv	np:obl	v:pred	rn_np:poss,,asabali,∅	103	∅	113	∅	∅	103	114	∅	115,∅	103	∅	113	∅	∅	103	114	∅	115,∅	∅	∅	bridging	∅	∅	∅	new	∅	new
asabali_0008,mcsanzhi,"macːalsa wašibda, macːalːa aq'ra erdarq'ibda, c'ili heltːi macːa čiddet'ible,",#	0	macːa-l-sa	w-aš-ib-da	#	0	macːa-lla	aq'	=ra	er	d-arq'-ib-da	#	c'ili	0	hel-tːi	macːa	či-d-et'-ib-le,#	0_I	sheep-OBL-ANTE	M-go-PRET-1	#	0_I	sheep-GEN	flock	=and	look	NPL-do.PFV-PRET-1	#	then	0_I	that-PL	sheep	SPR-NPL-NPL-bore.PFV-PRET-CVB,"I looked after the sheep, looked after the flock of sheep, then I got bored of the sheep.",en,WORD_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,44450,50717,##	0.1:s	np:obl	v:pred	##	0.1:a_cpa	ln_np:poss	np:p	=rn	other:lvc	v:pred	#cv	other	0.1:ncs_cv	ln_dem	np:p	v:pred,,asabali,∅	103	114	∅	∅	103	114	∅	∅	∅	∅	∅	∅	103	∅	114	∅,∅	103	114	∅	∅	103	114	∅	∅	∅	∅	∅	∅	103	∅	114	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
asabali_0009,mcsanzhi,"du dabrawolna armijale agurda, ʁajal dus wiχuble,",#	du	dabrawolna	armija-le	ag-ur-da	#	0	ʁajal	dus	w-iχ-ub-le,#	1SG	voluntarily[R]	army-SPR	go.PFV-PRET-1	#	0_I	twenty	year	M-be.PFV-PRET-CVB,"I voluntarily went to the army when I was 20,",en,MORPHEME_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,50717,56094,##	pro.1:s	other	np:g	v:pred	#ac_cv	0.1:s_cv	ln_num	np:pred	cop,,asabali,∅	103	∅	116	∅	∅	103	∅	∅	∅,∅	103	∅	116	∅	∅	103	∅	∅	∅,∅	∅	∅	new	∅	∅	∅	∅	∅	∅
asabali_0010,mcsanzhi,xuc'anu xuraib dusicːew.,xu-c'a-nu	xu-ra-ib	dusː-i-cːe-w,five-tenth-PRT	five-NUM-ORD	year-OBL-IN-M,in the year 55.,en,MORPHEME_ALIGNED,,asabali_mp3 asabali_wav asabali_eaf asabali_xml asabali_tsv,,56094,61491,ln	ln	np:other,,asabali,∅	∅	∅,∅	∅	∅,∅	∅	∅
